,to_predict
0,148.053507623
1,148.42688387
2,149.340673106
3,150.932435002
4,151.364765393
5,150.254462343
6,152.642105185
7,144.034800123
8,140.998661693
9,143.16031365
10,145.872204286
11,149.134333602
12,149.694397972
13,149.036076694
14,149.714049353
15,149.94004024
16,151.767618712
17,152.622453804
18,154.302646915
19,155.265564605
20,157.486170705
21,156.99488617
22,157.073491695
23,156.798372356
24,158.547345302
25,157.653207447
26,159.244969342
27,159.814859404
28,159.294097796
29,159.009152765
30,158.557170993
31,157.820244189
32,158.635776518
33,157.780941427
34,157.869372643
35,158.734033426
36,160.650043114
37,160.59108897
38,160.323503225
39,160.630731302
40,162.067765856
41,160.501893722
42,160.43251964
43,159.263070831
44,159.00539567
45,159.917169317
46,158.608972345
47,158.569330012
48,158.827005173
49,157.627824615
50,157.211580124
51,156.904352047
52,158.291833685
53,157.974695025
54,157.459344702
55,158.113443188
56,158.123353771
57,158.916200422
58,160.194665645
59,157.5782717
60,154.297868685
61,156.874620298
62,154.416795682
63,152.672533052
64,154.268136936
65,152.464410807
66,153.485200869
67,153.068956377
68,154.139299355
69,154.714113176
70,153.594217283
71,152.60315897
72,155.368211663
73,156.874620298
74,156.696229801
75,157.429612953
76,156.200700645
77,155.060983586
78,155.675439739
79,155.477228077
80,154.278047519
81,155.615976241
82,153.405916204
83,152.910387047
84,152.345483809
85,153.068956377
86,153.386095037
87,149.372308871
88,149.90748036
89,150.165155521
90,148.292055311
91,149.223650125
92,149.530878201
93,150.452562432
94,151.978792234
95,151.245409082
96,152.31575206
97,151.423799578
98,150.591310596
99,151.007555087
100,151.067018586
101,154.327600434
102,155.17
103,154.81
104,160.22
105,161.27
106,158.21
107,158.67
108,159.29
109,159.8
110,160.39
111,162.77
112,162.67
113,161.98
114,163.14
115,164.52
116,163.53
117,162.22
118,159.82
119,160.02
